t,theta,omega,u,reward
0.14500000000000005,-0.12665391223273817,-3.949114898732163,-2.8499999999999996,1.553786244443584e-10
0.15000000000000005,-0.14678914399736948,-4.20793137127568,-2.8499999999999996,2.1067831926145942e-10
0.15500000000000005,-0.16858576144633147,-4.448642830323816,-2.8499999999999996,2.9036457985454117e-10
0.16000000000000006,-0.18900313471958693,-4.676406340291955,-2.8499999999999996,4.061623809233563e-10
0.16500000000000006,-0.2133131239183058,-4.8853779597830655,-2.8499999999999996,5.757215802014149e-10
0.17000000000000007,-0.23859495246396692,-5.0779512549765515,-2.8499999999999996,8.256554741222399e-10
0.17500000000000007,-0.2643793754154679,-5.251597135148753,-2.8499999999999996,1.1961141924198445e-09
0.18000000000000008,-0.29173507971448115,-5.41299652000647,-2.8499999999999996,1.7476299741895397e-09
0.18500000000000008,-0.31833443271324996,-5.554991089946442,-2.8499999999999996,2.5712913411202274e-09
0.19000000000000009,-0.3466083862501188,-5.6762160331464795,-2.8499999999999996,3.803737081364302e-09
0.1950000000000001,-0.3747775112311156,-5.782757472716099,-2.8499999999999996,5.649032753892235e-09
0.2000000000000001,-0.4057254628101391,-5.8690200028051,-2.8499999999999996,8.410220244516261e-09
0.2050000000000001,-0.4348234142495765,-5.937710802539877,-2.8499999999999996,1.2534218096546705e-08
0.2100000000000001,-0.4642638726289932,-5.990448938869767,-2.8499999999999996,1.8674772480822025e-08
0.2150000000000001,-0.49571538485975236,-6.024230691758997,-2.8499999999999996,2.7779246619235188e-08
0.2200000000000001,-0.5240188271466252,-6.0403383811196845,-2.8499999999999996,4.1206056797288763e-08
0.22500000000000012,-0.5550265351357181,-6.041505949291518,-2.8499999999999996,6.088029913135792e-08
0.23000000000000012,-0.5854075728398399,-6.024657755225532,-2.8499999999999996,8.949525040204836e-08
0.23500000000000013,-0.6128187402385387,-5.592758140948826,0.0,1.2913615277747068e-07
0.24000000000000013,-0.6383374148771572,-5.14910067486221,0.0,1.8058347172331877e-07
0.24500000000000013,-0.6678576881826958,-4.694828432654124,0.0,2.4478018925444493e-07
0.2500000000000001,-0.6870613076401344,-4.233748115967755,0.0,3.216971955848276e-07
0.2550000000000001,-0.7078167229793116,-3.763181791430361,0.0,4.100237779765694e-07
0.2600000000000001,-0.7266989327864658,-3.2883794452136184,0.0,5.0697675300271e-07
0.2650000000000001,-0.740813177277899,-2.8046807404889886,0.0,6.082957889919656e-07
0.27000000000000013,-0.7542981992047791,-2.320367814494402,0.0,7.084677322282503e-07
0.27500000000000013,-0.7632956250465506,-1.8354144749519365,0.0,8.0118265088543e-07
0.28000000000000014,-0.772152182144018,-1.346906020791517,0.0,8.799767482010306e-07
0.28500000000000014,-0.7766982753835112,-0.8604162375288577,0.0,9.389734577855076e-07
0.29000000000000015,-0.7801727000062226,-0.3740484999974,0.0,9.736053876561833e-07
0.29500000000000015,-0.7822942603074285,0.07982839569831833,0.0,9.815235646101608e-07
0.30000000000000016,-0.7793309883268938,0.5026139380893401,0.0,9.64886916068195e-07
0.30500000000000016,-0.7746211271737441,0.9165267222788859,0.0,9.255219714998439e-07
0.31000000000000016,-0.7712473600516255,1.3276652045124393,0.0,8.663554861477857e-07
0.31500000000000017,-0.7630714868074846,1.7341480988129354,0.0,7.915275282631867e-07
0.3200000000000002,-0.7517488501228161,2.5310173490535854,2.8499999999999996,6.975977852107075e-07
0.3250000000000002,-0.7375455270986068,3.3190019902441357,2.8499999999999996,5.860934150345367e-07
0.3300000000000002,-0.7193565234325522,4.094432171032266,2.8499999999999996,4.6934676819974607e-07
0.3350000000000002,-0.6968531123834303,4.85224183161013,2.8499999999999996,3.581695371405241e-07
0.3400000000000002,-0.6702583472741361,5.595699088534071,2.8499999999999996,2.6038906924802774e-07
0.3450000000000002,-0.6417466456953957,6.316412709799143,2.8499999999999996,1.8027962618351013e-07
0.3500000000000002,-0.6070987354453978,7.017947047483168,2.8499999999999996,1.1882319511073047e-07
0.3550000000000002,-0.5699892694570715,7.6988744752777265,2.8499999999999996,7.452982432391567e-08
0.3600000000000002,-0.528920903508937,8.349920329401842,2.8499999999999996,4.447263012602464e-08
0.3650000000000002,-0.48860202085760895,8.978252588684425,2.8499999999999996,2.5239380083375813e-08
0.3700000000000002,-0.4413948668724106,9.572953171925793,2.8499999999999996,1.3621374802764092e-08
0.3750000000000002,-0.3893848978875472,10.136247856824411,2.8499999999999996,6.990544281136768e-09
0.3800000000000002,-0.3406466622400045,10.67043671064908,2.8499999999999996,3.4120259969524286e-09
0.38500000000000023,-0.28476835098675357,11.164497731969297,2.8499999999999996,1.5844329306945198e-09
0.39000000000000024,-0.22622341431732426,11.621651771135687,2.8499999999999996,7.003934963805663e-10
0.39500000000000024,-0.16659305267762717,12.03966395883439,2.8499999999999996,2.9496604049646693e-10
0.40000000000000024,-0.10676289020574486,12.416999889157331,2.8499999999999996,1.184775158673989e-10
0.40500000000000025,-0.04445854713697504,12.753532807549373,2.8499999999999996,4.5449630503995145e-11
0.41000000000000025,0.01999195873659086,13.047555262278712,2.8499999999999996,3.136939455343512e-11
0.41500000000000026,0.08547577194903071,13.295407648740122,2.8499999999999996,8.612696598533911e-11
0.42000000000000026,0.15410201110013552,13.499190074446625,2.8499999999999996,2.353545168846777e-10
0.42500000000000027,0.2180056467759923,13.659950880159666,2.8499999999999996,6.373478897783706e-10
0.43000000000000027,0.29032501773997754,13.778410699072289,2.8499999999999996,1.7035276856606298e-09
0.4350000000000003,0.3612937030944396,13.85034981263403,2.8499999999999996,4.477442515947813e-09
0.4400000000000003,0.428627181391292,13.884580159947662,2.8499999999999996,1.1533501583261553e-08
0.4450000000000003,0.4988512920006192,13.872939732903356,2.8499999999999996,2.902990218166277e-08
0.4500000000000003,0.5673484852851203,13.825654675059026,2.8499999999999996,7.121179061968248e-08
0.4550000000000003,0.6354817344423089,13.739893761632795,2.8499999999999996,1.6987002052684318e-07
0.4600000000000003,0.7038303645663218,13.621622523039058,2.8499999999999996,3.9331777519418766e-07
0.4650000000000003,0.773053947137299,13.469568325815596,2.8499999999999996,8.826717141861624e-07
0.4700000000000003,0.8389009934362035,13.287013391964143,2.8499999999999996,1.9178190669414775e-06
0.4750000000000003,0.9048685343711198,13.076931735104369,2.8499999999999996,4.031268999952163e-06
0.4800000000000003,0.9689092451458834,12.44372759681079,0.0,8.10642160358302e-06
0.4850000000000003,1.0276910995191875,11.791672254810784,0.0,1.544574379217472e-05
0.4900000000000003,1.0852353833085726,11.125073379372814,0.0,2.7942742085478487e-05
0.49500000000000033,1.1421479493966333,10.445596165216182,0.0,4.809914585395537e-05
0.5000000000000003,1.1899561622518307,9.7592214932993,0.0,7.8951573704414e-05
0.5050000000000003,1.2375311576966348,9.063381307923619,0.0,0.00012384764432003034
0.5100000000000003,1.280335501656275,8.362586524926067,0.0,0.00018605978967920639
0.5150000000000003,1.3206319157071373,7.659726094262163,0.0,0.0002682635823612746
0.5200000000000004,1.3573159047881516,6.953135424516713,0.0,0.0003719485075402864
0.5250000000000004,1.3904310528110722,6.248862107739293,0.0,0.000496860782854579
0.5300000000000004,1.4199419842000456,5.545087490688622,0.0,0.0006405898054861378
0.5350000000000004,1.4464979892936292,4.84180716908239,0.0,0.0007983971402688657
0.5400000000000004,1.4682477790470718,4.143741399375285,0.0,0.0009633515184956584
0.5450000000000004,1.488845079039406,3.446298867993676,0.0,0.0011267828625038613
0.5500000000000004,1.5041318283833294,2.7565553448176265,0.0,0.0012790139145537301
0.5550000000000004,1.5158085110472896,2.068549545436911,0.0,0.0014102807296631343
0.5600000000000004,1.5247388082403701,1.384092866213179,0.0,0.0015117216446091759
0.5650000000000004,1.529250265243957,0.7042233652373678,0.0,0.0015763029479101743
0.5700000000000004,1.5312881352207968,0.028357009712669693,0.0,0.0015995588050252856
0.5750000000000004,1.5303002393853975,-0.5844586034664876,0.0,0.0015818376935345106
0.5800000000000004,1.52480956200524,-1.19062830443904,0.0,0.0015266202281308506
0.5850000000000004,1.517511030962667,-1.7921081501885563,0.0,0.0014377842228813298
0.5900000000000004,1.509797436448826,-2.3912446665067835,0.0,0.0013212325991178002
0.5950000000000004,1.494254159126273,-2.9818276291950214,0.0,0.00118430264678492
0.6000000000000004,1.478208864019567,-3.571328878038348,0.0,0.0010350640209531548
0.6050000000000004,1.457760970335611,-4.153886826367432,0.0,0.0008815912066377016
0.6100000000000004,1.4367388896522277,-4.73067469714373,0.0,0.0007312936890365446
0.6150000000000004,1.4117402805877621,-5.30369263798658,0.0,0.0005903756702586677
0.6200000000000004,1.3838677003871722,-5.870196220028197,0.0,0.00046347640826590225
0.6250000000000004,1.3542656388630319,-6.427826079159912,0.0,0.0003535151376590863
0.6300000000000004,1.3191821157106325,-6.958326292375275,0.15,0.0002618599763044757
0.6350000000000005,1.2830575723626252,-7.4591385471250495,0.3,0.00018837205604953428
0.6400000000000005,1.2427100442527825,-7.925234149629831,0.44999999999999996,0.0001316063804144157
0.6450000000000005,1.201059333272005,-8.35979728519744,0.6,8.931233864286519e-05
0.6500000000000005,1.1589502858422287,-9.266892343107694,-2.8499999999999996,5.816088445610827e-05
0.6550000000000005,1.110561048159478,-10.15612942648397,-2.8499999999999996,3.585285653755172e-05
0.6600000000000005,1.0578241505490367,-11.025426148327936,-2.8499999999999996,2.0874145183819445e-05
0.6650000000000005,0.9999013923805523,-11.870763108249923,-2.8499999999999996,1.1452011587147018e-05
0.6700000000000005,0.9392779228842729,-12.689479711994757,-2.8499999999999996,5.906640654346599e-06
0.6750000000000005,0.8731229854030184,-13.479153355456418,-2.8499999999999996,2.857662850872964e-06
0.6800000000000005,0.8043304619672687,-14.23711694379741,-2.8499999999999996,1.2941252401726765e-06
0.6850000000000005,0.7324234676471062,-14.954740563985077,-2.8499999999999996,5.475291745851219e-07
0.6900000000000005,0.65520013983736,-15.63467619045538,-2.8499999999999996,2.160694271647169e-07
0.6950000000000005,0.5754544801647251,-16.270959271094753,-2.8499999999999996,7.94280299554243e-08
0.7000000000000005,0.4921060388862245,-16.85981622861521,-2.8499999999999996,2.7174903492299843e-08
0.7050000000000005,0.4052056652623172,-17.395532854641466,-2.8499999999999996,8.649745923260846e-09
0.7100000000000005,0.31897364909672615,-17.87552745551131,-2.8499999999999996,2.5617684874062673e-09
0.7150000000000005,0.22826253656081058,-18.30103577597814,-2.8499999999999996,7.064646176361059e-10
0.7200000000000005,0.13724121126370345,-18.664694282447403,-2.8499999999999996,1.8164975642740327e-10
0.7250000000000005,0.042453413342008826,-18.96544513322279,-2.8499999999999996,4.363424738504769e-11
0.7300000000000005,-0.05597558706536853,-19.204987690788517,-2.8499999999999996,5.264100548553357e-11
0.7350000000000005,-0.14848084535629133,-19.382776266479144,-2.8499999999999996,2.2579031362757673e-10
0.7400000000000005,-0.24878279945386728,-19.495875116534524,-2.8499999999999996,9.344219371391492e-10
0.7450000000000006,-0.34601348723371594,-19.547559043388073,-2.8499999999999996,3.7111903913916104e-09
0.7500000000000006,-0.4442793748480678,-19.54258358985041,-2.8499999999999996,1.4079866185147376e-08
0.7550000000000006,-0.5402866174022646,-19.4786420752587,-2.8499999999999996,5.08279325252746e-08
0.7600000000000006,-0.6391420650941293,-19.362880512727763,-2.8499999999999996,1.7404263382307762e-07
0.7650000000000006,-0.7328773665723801,-19.198167780554016,-2.8499999999999996,5.639156122911022e-07
0.7700000000000006,-0.8286347320023828,-18.988417721335452,-2.8499999999999996,1.7260363036527077e-06
0.7750000000000006,-0.9226123956782473,-18.742213019562904,-2.8499999999999996,4.985805733889061e-06
