t,theta,omega,u,reward
0.4450000000000003,-0.2190569043159485,14.427717208862305,2.8499999999999996,1.2110601675951014
0.4500000000000003,-0.14707772433757782,14.816404342651367,2.8499999999999996,1.2261289406686013
0.4550000000000003,-0.06917283684015274,15.158822059631348,2.8499999999999996,1.2428595669014166
0.4600000000000003,0.004823695868253708,15.448285102844238,2.8499999999999996,1.2567577619720791
0.4650000000000003,0.08496878296136856,15.688706398010254,2.8499999999999996,1.2305272196826846
0.4700000000000003,0.16058604419231415,15.871223449707031,2.8499999999999996,1.2088699290572902
0.4750000000000003,0.24148035049438477,16.009248733520508,2.8499999999999996,1.1894991969685407
0.4800000000000003,0.3221597969532013,16.0928955078125,2.8499999999999996,1.1740953477354048
0.4850000000000003,0.40278834104537964,16.13007926940918,2.8499999999999996,1.1624030828668468
0.4900000000000003,0.4838176965713501,16.116912841796875,2.8499999999999996,1.1543470265435252
0.49500000000000033,0.5638639330863953,16.056968688964844,2.8499999999999996,1.1497142604167236
0.5000000000000003,0.6442922353744507,15.957582473754883,2.8499999999999996,1.1478855852609815
0.5050000000000003,0.7240297794342041,15.816768646240234,2.8499999999999996,1.1485556858130437
0.5100000000000003,0.8022109866142273,15.637571334838867,2.8499999999999996,1.1511501870922363
0.5150000000000003,0.879188597202301,15.426715850830078,2.8499999999999996,1.1549995668349906
0.5200000000000004,0.9580194354057312,15.183653831481934,2.8499999999999996,1.1596823280594317
0.5250000000000004,1.032108187675476,14.915276527404785,2.8499999999999996,1.164342824010303
0.5300000000000004,1.103598952293396,14.623466491699219,2.8499999999999996,1.1684617869794416
0.5350000000000004,1.177642822265625,14.313051223754883,2.8499999999999996,1.1719351553713895
0.5400000000000004,1.2476009130477905,13.988737106323242,2.8499999999999996,1.1739055724117966
0.5450000000000004,1.3167169094085693,13.628110885620117,2.6999999999999997,1.0229897618365782
0.5500000000000004,1.3861888647079468,13.240091323852539,2.55,0.8835950464218552
0.5550000000000004,1.448749303817749,12.827322959899902,2.4,0.7546659495094207
0.5600000000000004,1.5141592025756836,12.38617992401123,2.25,0.6377103223242371
0.5650000000000004,1.5724769830703735,11.632811546325684,0.0,-0.7571916417137714
